Rank,Title,Year,Rated,Released,Runtime,Director,Plot,Poster,Metascore,imdbID,imdbRating,imdbVotes,Type
133,Unforgiven,1992,R,07 Aug 1992,130 min,Clint Eastwood,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,85,tt0105695,8.2,"369,713",movie
134,Ran,1985,R,01 Jun 1985,162 min,Akira Kurosawa,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",https://m.media-amazon.com/images/M/MV5BZDBjZTM4ZmEtOTA5ZC00NTQzLTkyNzYtMmUxNGU2YjI5YjU5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,96,tt0089881,8.2,"109,256",movie
135,Some Like It Hot,1959,Passed,19 Mar 1959,121 min,Billy Wilder,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,98,tt0053291,8.2,"240,125",movie
136,Howl's Moving Castle,2004,PG,17 Jun 2005,119 min,Hayao Miyazaki,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",https://m.media-amazon.com/images/M/MV5BNmM4YTFmMmItMGE3Yy00MmRkLTlmZGEtMzZlOTQzYjk3MzA2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,80,tt0347149,8.2,"323,962",movie
137,All About Eve,1950,Passed,27 Oct 1950,138 min,Joseph L. Mankiewicz,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_SX300.jpg,98,tt0042192,8.2,"118,991",movie
138,A Beautiful Mind,2001,PG-13,04 Jan 2002,135 min,Ron Howard,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,72,tt0268978,8.2,"833,458",movie
139,Casino Royale,2006,PG-13,17 Nov 2006,144 min,Martin Campbell,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",https://m.media-amazon.com/images/M/MV5BMDI5ZWJhOWItYTlhOC00YWNhLTlkNzctNDU5YTI1M2E1MWZhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,80,tt0381061,8.0,"574,721",movie
140,The Great Escape,1963,Approved,04 Jul 1963,172 min,John Sturges,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,86,tt0057115,8.2,"221,195",movie
141,The Wolf of Wall Street,2013,R,25 Dec 2013,180 min,Martin Scorsese,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg,75,tt0993846,8.2,"1,156,990",movie
142,Pan's Labyrinth,2006,R,19 Jan 2007,118 min,Guillermo del Toro,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",https://m.media-amazon.com/images/M/MV5BMTU3ODg2NjQ5NF5BMl5BanBnXkFtZTcwMDEwODgzMQ@@._V1_SX300.jpg,98,tt0457430,8.2,"610,691",movie
143,The Secret in Their Eyes,2009,R,21 May 2010,129 min,Juan José Campanella,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,https://m.media-amazon.com/images/M/MV5BY2FhZGI5M2QtZWFiZS00NjkwLWE4NWQtMzg3ZDZjNjdkYTJiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,80,tt1305806,8.2,"189,843",movie
144,"Lock, Stock and Two Smoking Barrels",1998,R,28 Aug 1998,107 min,Guy Ritchie,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,66,tt0120735,8.2,"528,917",movie
145,There Will Be Blood,2007,R,25 Jan 2008,158 min,Paul Thomas Anderson,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_SX300.jpg,93,tt0469494,8.2,"508,432",movie
146,Raging Bull,1980,R,19 Dec 1980,129 min,Martin Scorsese,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg,89,tt0081398,8.2,"316,279",movie
147,My Neighbor Totoro,1988,G,13 Jul 1990,86 min,Hayao Miyazaki,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",https://m.media-amazon.com/images/M/MV5BYzJjMTYyMjQtZDI0My00ZjE2LTkyNGYtOTllNGQxNDMyZjE0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,86,tt0096283,8.2,"284,061",movie
148,Anand,1971,Not Rated,12 Mar 1971,122 min,Hrishikesh Mukherjee,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",https://m.media-amazon.com/images/M/MV5BYmYzNmM2MDctZGY3Yi00NjRiLWIxZjctYjgzYTcxYTNhYTMyXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,N/A,tt0066763,8.4,"29,140",movie
149,Judgment at Nuremberg,1961,Approved,18 Dec 1961,179 min,Stanley Kramer,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_SX300.jpg,60,tt0055031,8.2,"68,322",movie
150,The Treasure of the Sierra Madre,1948,Passed,24 Jan 1948,126 min,John Huston,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,98,tt0040897,8.2,"112,402",movie
151,Dial M for Murder,1954,PG,29 May 1954,105 min,Alfred Hitchcock,A former tennis player tries to arrange his wife's murder after learning of her affair.,https://m.media-amazon.com/images/M/MV5BOWIwODIxYWItZDI4MS00YzhhLWE3MmYtMzlhZDIwOTMzZmE5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,75,tt0046912,8.2,"155,480",movie
152,"Three Billboards Outside Ebbing, Missouri",2017,R,01 Dec 2017,115 min,Martin McDonagh,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@._V1_SX300.jpg,88,tt5027774,8.2,"416,773",movie
153,Chinatown,1974,R,20 Jun 1974,130 min,Roman Polanski,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",https://m.media-amazon.com/images/M/MV5BOGMwYmY5ZmEtMzY1Yi00OWJiLTk1Y2MtMzI2MjBhYmZkNTQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,92,tt0071315,8.1,"289,944",movie
154,The Gold Rush,1925,Passed,13 Jul 1925,95 min,Charles Chaplin,A prospector goes to the Klondike in search of gold and finds it and more.,https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,N/A,tt0015864,8.2,"99,071",movie
155,Shutter Island,2010,R,19 Feb 2010,138 min,Martin Scorsese,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,63,tt1130884,8.2,"1,105,537",movie
156,,,,,,,,,,,,,
157,No Country for Old Men,2007,R,21 Nov 2007,122 min,"Ethan Coen, Joel Coen",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_SX300.jpg,91,tt0477348,8.1,"838,364",movie
158,V for Vendetta,2005,R,17 Mar 2006,132 min,James McTeigue,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_SX300.jpg,62,tt0434409,8.2,"1,015,941",movie
159,The Seventh Seal,1957,Not Rated,13 Oct 1958,96 min,Ingmar Bergman,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",https://m.media-amazon.com/images/M/MV5BM2I1ZWU4YjMtYzU0My00YmMzLWFmNTAtZDJhZGYwMmI3YWQ5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,88,tt0050976,8.2,"161,594",movie
160,Inside Out,2015,PG,19 Jun 2015,95 min,"Pete Docter, Ronnie Del Carmen(co-director)","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,94,tt2096673,8.1,"600,675",movie
161,Warrior,2011,PG-13,09 Sep 2011,140 min,Gavin O'Connor,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_SX300.jpg,71,tt1291584,8.2,"429,826",movie
162,The Elephant Man,1980,PG,10 Oct 1980,124 min,David Lynch,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,78,tt0080678,8.1,"216,401",movie
163,The Thing,1982,R,25 Jun 1982,109 min,John Carpenter,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,57,tt0084787,8.1,"365,973",movie
164,The Sixth Sense,1999,PG-13,06 Aug 1999,107 min,M. Night Shyamalan,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,64,tt0167404,8.1,"901,833",movie
165,Trainspotting,1996,R,09 Aug 1996,93 min,Danny Boyle,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",https://m.media-amazon.com/images/M/MV5BMzA5Zjc3ZTMtMmU5YS00YTMwLWI4MWUtYTU0YTVmNjVmODZhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,83,tt0117951,8.1,"626,788",movie
166,Jurassic Park,1993,PG-13,11 Jun 1993,127 min,Steven Spielberg,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_SX300.jpg,68,tt0107290,8.1,"854,729",movie
167,Gone with the Wind,1939,Passed,17 Jan 1940,238 min,"Victor Fleming, George Cukor, Sam Wood",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,97,tt0031381,8.1,"286,287",movie
168,The Truman Show,1998,PG,05 Jun 1998,103 min,Peter Weir,An insurance salesman discovers his whole life is actually a reality TV show.,https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,90,tt0120382,8.1,"921,004",movie
169,Finding Nemo,2003,G,30 May 2003,100 min,"Andrew Stanton, Lee Unkrich(co-director)","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,90,tt0266543,8.1,"936,121",movie
170,Wild Strawberries,1957,Not Rated,22 Jun 1959,91 min,Ingmar Bergman,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",https://m.media-amazon.com/images/M/MV5BYzdkODZlOGItY2RjZC00Mzc5LWI5NzMtZDUyMmNhNjljOWE2XkEyXkFqcGdeQXVyOTk4MjA5NjQ@._V1_SX300.jpg,88,tt0050986,8.2,"94,300",movie
171,Blade Runner,1982,R,25 Jun 1982,117 min,Ridley Scott,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,84,tt0083658,8.1,"682,335",movie
172,Stalker,1979,Not Rated,17 Apr 1980,162 min,Andrei Tarkovsky,A guide leads two men through an area known as the Zone to find a room that grants wishes.,https://m.media-amazon.com/images/M/MV5BMDgwODNmMGItMDcwYi00OWZjLTgyZjAtMGYwMmI4N2Q0NmJmXkEyXkFqcGdeQXVyNzY1MTU0Njk@._V1_SX300.jpg,N/A,tt0079944,8.2,"113,818",movie
173,Kill Bill: Vol. 1,2003,R,10 Oct 2003,111 min,Quentin Tarantino,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,69,tt0266697,8.1,"983,396",movie
174,The Bridge on the River Kwai,1957,PG,14 Dec 1957,161 min,David Lean,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",https://m.media-amazon.com/images/M/MV5BMGVhNjhjODktODgxYS00MDdhLTlkZjktYTkyNzQxMTU0ZDYxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,87,tt0050212,8.1,"200,141",movie
175,Room,2015,R,22 Jan 2016,118 min,Lenny Abrahamson,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_SX300.jpg,86,tt3170832,8.1,"361,723",movie
176,Memories of Murder,2003,Not Rated,02 May 2003,132 min,Bong Joon Ho,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",https://m.media-amazon.com/images/M/MV5BOGViNTg4YTktYTQ2Ni00MTU0LTk2NWUtMTI4OTc1YTM0NzQ2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,82,tt0353969,8.1,"132,621",movie
177,Fargo,1996,R,05 Apr 1996,98 min,"Joel Coen, Ethan Coen",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,85,tt0116282,8.1,"607,430",movie
178,Tokyo Story,1953,Not Rated,13 Mar 1972,136 min,Yasujirô Ozu,"An old couple visit their children and grandchildren in the city, but receive little attention.",https://m.media-amazon.com/images/M/MV5BYWQ4ZTRiODktNjAzZC00Nzg1LTk1YWQtNDFmNDI0NmZiNGIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,N/A,tt0046438,8.2,"51,641",movie
179,Gran Torino,2008,R,09 Jan 2009,116 min,Clint Eastwood,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_SX300.jpg,72,tt1205489,8.1,"711,952",movie
180,The Third Man,1949,Approved,12 Oct 1949,93 min,Carol Reed,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",https://m.media-amazon.com/images/M/MV5BYjE2OTdhMWUtOGJlMy00ZDViLWIzZjgtYjZkZGZmMDZjYmEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,97,tt0041959,8.1,"156,562",movie
181,On the Waterfront,1954,Approved,22 Jun 1954,108 min,Elia Kazan,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,https://m.media-amazon.com/images/M/MV5BY2I0MWFiZDMtNWQyYy00Njk5LTk3MDktZjZjNTNmZmVkYjkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,91,tt0047296,8.1,"140,034",movie
182,Wild Tales,2014,R,21 Aug 2014,122 min,Damián Szifron,Six short stories that explore the extremities of human behavior involving people in distress.,https://m.media-amazon.com/images/M/MV5BNGQzY2Y0MTgtMDA4OC00NjM3LWI0ZGQtNTJlM2UxZDQxZjI0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,77,tt3011894,8.1,"172,985",movie
183,The Deer Hunter,1978,R,23 Feb 1979,183 min,Michael Cimino,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,86,tt0077416,8.1,"306,436",movie
184,Klaus,2019,PG,15 Nov 2019,96 min,"Sergio Pablos, Carlos Martínez López(co-director)","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",https://m.media-amazon.com/images/M/MV5BMWYwOThjM2ItZGYxNy00NTQwLWFlZWEtM2MzM2Q5MmY3NDU5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,65,tt4729430,8.2,"77,177",movie
185,In the Name of the Father,1993,R,25 Feb 1994,133 min,Jim Sheridan,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,84,tt0107207,8.1,"153,754",movie
186,Mary and Max,2009,Not Rated,09 Apr 2009,92 min,Adam Elliot,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",https://m.media-amazon.com/images/M/MV5BMDgzYjQwMDMtNGUzYi00MTRmLWIyMGMtNjE1OGZkNzY2YWIzL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,N/A,tt0978762,8.1,"162,198",movie
187,Vikram Vedha,2017,Not Rated,21 Jul 2017,147 min,"Gayatri, Pushkar","Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",https://m.media-amazon.com/images/M/MV5BY2FiMTFmMzMtZDI2ZC00NDQyLWExYTUtOWNmZWM1ZDg5YjVjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_SX300.jpg,N/A,tt6148156,8.6,"24,976",movie
188,Gone Girl,2014,R,03 Oct 2014,149 min,David Fincher,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_SX300.jpg,79,tt2267998,8.1,"842,497",movie
189,The Grand Budapest Hotel,2014,R,28 Mar 2014,99 min,Wes Anderson,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_SX300.jpg,88,tt2278388,8.1,"692,233",movie
190,Hacksaw Ridge,2016,R,04 Nov 2016,139 min,Mel Gibson,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_SX300.jpg,71,tt2119532,8.1,"422,977",movie
191,Before Sunrise,1995,R,27 Jan 1995,101 min,Richard Linklater,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",https://m.media-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,77,tt0112471,8.1,"266,652",movie
192,Andhadhun,2018,Not Rated,05 Oct 2018,139 min,Sriram Raghavan,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",https://m.media-amazon.com/images/M/MV5BZWZhMjhhZmYtOTIzOC00MGYzLWI1OGYtM2ZkN2IxNTI4ZWI3XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_SX300.jpg,N/A,tt8108198,8.3,"68,412",movie
193,Catch Me If You Can,2002,PG-13,25 Dec 2002,141 min,Steven Spielberg,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_SX300.jpg,75,tt0264464,8.1,"808,361",movie
194,Persona,1966,Not Rated,16 Mar 1967,83 min,Ingmar Bergman,A nurse is put in charge of a mute actress and finds that their personae are melding together.,https://m.media-amazon.com/images/M/MV5BMTM0YzExY2EtMjUyZi00ZmIwLWFkYTktNjY5NmVkYTdkMjI5XkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,86,tt0060827,8.1,"99,888",movie
195,The Big Lebowski,1998,R,06 Mar 1998,117 min,"Joel Coen, Ethan Coen","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",https://m.media-amazon.com/images/M/MV5BMTQ0NjUzMDMyOF5BMl5BanBnXkFtZTgwODA1OTU0MDE@._V1_SX300.jpg,71,tt0118715,8.1,"721,697",movie
196,To Be or Not to Be,1942,Passed,06 Mar 1942,99 min,Ernst Lubitsch,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",https://m.media-amazon.com/images/M/MV5BYTIwNDcyMjktMTczMy00NDM5LTlhNDEtMmE3NGVjOTM2YjQ3XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,86,tt0035446,8.2,"28,639",movie
197,Prisoners,2013,R,20 Sep 2013,153 min,Denis Villeneuve,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_SX300.jpg,70,tt1392214,8.1,"589,533",movie
198,Sherlock Jr.,1924,Passed,11 May 1924,45 min,Buster Keaton,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,N/A,tt0015324,8.2,"40,713",movie
199,Davaro: Son Eskiya,1981,N/A,N/A,94 min,Kartal Tibet,Memo returns from Germany to get married with his love but his fathers killer Sulo is being released from jail. As a village rule he has to get revenge for his fahter or he can not get ...,https://m.media-amazon.com/images/M/MV5BMzU0MmViYzMtNGM1Yi00MTBiLTk2ZDUtY2ZiNzJlYjEwYzEyXkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg,N/A,tt0252361,8.2,"6,405",movie
